Name,Nationality,Age,↓OVA,POT,Club,Positions,Best Position,Value,Wage,Release Clause,Total Stats,Underpaid_Score
R. Gosens,Germany,25,82,82,"



Atalanta",LM,LM,€34M,68000,€40.8M,2197,0.0012058823529411764
Marco Asensio,Spain,24,82,86,"



Real Madrid","LW, RW",CAM,€43.5M,160000,€61.6M,2023,0.0005125
Y. Carrasco,Belgium,26,82,82,"



Atlético Madrid",LM,LM,€33.5M,68000,€49.2M,2016,0.0012058823529411764
Reguilón,Spain,23,82,89,"



Tottenham Hotspur","LB, LM",LB,€58M,85000,€57.8M,2020,0.0009647058823529412
A. Kramarić,Croatia,29,82,82,"



TSG 1899 Hoffenheim","ST, CAM",ST,€30.5M,56000,€37.4M,2025,0.0014642857142857142
Q. Promes,Netherlands,28,82,82,"



Ajax","CAM, LW, ST",CAM,€30.5M,26000,€31.5M,2104,0.0031538461538461538
M. Maignan,France,24,82,86,"



LOSC Lille",GK,GK,€34.5M,31000,€42.5M,1313,0.0026451612903225807
L. Ocampos,Argentina,25,82,83,"



Sevilla FC","RW, LW",ST,€36.5M,40000,€57.6M,2216,0.00205
Kepa,Spain,25,82,86,"



Chelsea",GK,GK,€33.5M,76000,€41.5M,1316,0.0010789473684210526
E. Can,Germany,26,82,84,"



Borussia Dortmund","CM, CDM",CB,€37.5M,72000,€47M,2262,0.001138888888888889
M. Ginter,Germany,26,82,83,"



Borussia Mönchengladbach",CB,CB,€31.5M,48000,€40.8M,1927,0.0017083333333333334
Pacheco,Spain,28,82,84,"



Deportivo Alavés",GK,GK,€26M,28000,€42.4M,1310,0.0029285714285714284
M. Halstenberg,Germany,28,82,82,"



RB Leipzig","LB, CB, LWB",LB,€27.5M,65000,€32.3M,2114,0.0012615384615384615
Anderson Talisca,Brazil,26,82,85,"



Guangzhou Evergrande Taobao FC","CAM, RW",CAM,€40M,36000,€46.1M,2172,0.002277777777777778
A. Correa,Argentina,25,82,85,"



Atlético Madrid","RM, ST",CAM,€40.5M,65000,€59.5M,2101,0.0012615384615384615
G. Rulli,Argentina,28,82,84,"



Villarreal CF",GK,GK,€26M,35000,€42.4M,1317,0.002342857142857143
Fabián,Spain,24,82,88,"



Napoli",CM,CM,€48M,70000,€57M,2105,0.0011714285714285715
T. Vaclík,Czech Republic,31,82,82,"



Sevilla FC",GK,GK,€16M,29000,€29.4M,1288,0.0028275862068965515
Raphaelito Anjos,Brazil,32,82,82,"



Grêmio",GK,GK,€15M,32000,€25.7M,1228,0.0025625
H. Maguire,England,27,82,85,"



Manchester United",CB,CB,€34.5M,120000,€47.4M,1938,0.0006833333333333333
D. Blind,Netherlands,30,82,82,"



Ajax","CB, CDM, LB",CB,€25M,23000,€25.2M,2115,0.0035652173913043477
N. Pope,England,28,82,83,"



Burnley",GK,GK,€24M,59000,€36.5M,1264,0.0013898305084745763
Rodrigo,Spain,29,82,82,"



Leeds United","ST, CAM",ST,€30.5M,140000,€44M,2073,0.0005857142857142858
A. Areola,France,27,82,86,"



Fulham",GK,GK,€32M,71000,€0,1380,0.0011549295774647887
Mário Fernandes,Russia,29,82,82,"



PFC CSKA Moscow","RWB, RM",RWB,€27M,60000,€29.6M,2102,0.0013666666666666666
Neto,Brazil,30,82,82,"



FC Barcelona",GK,GK,€20.5M,125000,€30.8M,1333,0.000656
M. Perin,Italy,27,82,84,"



Genoa",GK,GK,€28M,20000,€34.7M,1277,0.0041
A. Marchesín,Argentina,32,82,82,"



FC Porto",GK,GK,€15M,16000,€27M,1374,0.005125
J. Rodríguez,Colombia,28,82,82,"



Everton","CAM, RW",CAM,€30.5M,105000,€42.8M,2099,0.000780952380952381
Danilo Pereira,Portugal,28,82,82,"



Paris Saint-Germain","CDM, CM",CDM,€27M,20000,€0,2024,0.0041
Morata,Spain,27,82,83,"



Juventus",ST,ST,€35.5M,100000,€44.9M,1926,0.00082
Gabriel Paulista,Brazil,29,82,83,"



Valencia CF",CB,CB,€28M,46000,€45.7M,1976,0.0017826086956521739
Canales,Spain,29,82,82,"



Real Betis","CM, LM, RM",CAM,€29.5M,36000,€45.2M,2144,0.002277777777777778
K. Bellarabi,Germany,30,82,82,"



Bayer 04 Leverkusen","RM, RW",RM,€29.5M,79000,€35.7M,1986,0.0010379746835443037
O. Baumann,Germany,30,82,82,"



TSG 1899 Hoffenheim",GK,GK,€20.5M,37000,€25.5M,1261,0.0022162162162162164
Sergio Asenjo,Spain,31,82,82,"



Villarreal CF",GK,GK,€16M,34000,€29.4M,1361,0.002411764705882353
L. Bender,Germany,31,82,82,"



Bayer 04 Leverkusen","RB, CDM, CM",RB,€22M,72000,€27.2M,2024,0.001138888888888889
G. Buffon,Italy,42,82,82,"



Juventus",GK,GK,€3.4M,41000,€3.6M,1292,0.002
A. Ramsey,Wales,29,82,82,"



Juventus","CM, CAM",CM,€29.5M,100000,€35.5M,2120,0.00082
Raúl Albiol,Spain,34,82,82,"



Villarreal CF",CB,CB,€10M,41000,€16.8M,1754,0.002
M. Özil,Germany,31,82,82,"



Arsenal","CAM, RW",CAM,€25M,100000,€37.1M,1846,0.00082
D. Payet,France,33,82,82,"



Olympique de Marseille","LW, CAM",LW,€19M,59000,€25.7M,2039,0.0013898305084745763
I. Rakitić,Croatia,32,82,82,"



Sevilla FC",CM,CM,€24M,39000,€35.7M,2142,0.0021025641025641025
Willian,Brazil,31,82,82,"



Arsenal","RW, LW, RM",RW,€25M,110000,€37.1M,2030,0.0007454545454545455
M. Arnautović,Austria,31,82,82,"



Shanghai SIPG FC",ST,ST,€25.5M,24000,€32M,2117,0.003416666666666667
F. Muslera,Uruguay,34,82,82,"



Galatasaray SK",GK,GK,€5M,64000,€18.1M,1405,0.00128125
A. Kolarov,Serbia,34,82,82,"



Inter",LB,LB,€11M,105000,€13.6M,2239,0.000780952380952381
J. Boateng,Germany,31,82,82,"



FC Bayern München",CB,CB,€21M,82000,€27.2M,1924,0.001
I. Perišić,Croatia,31,82,82,"



Inter","LM, LW",LM,€25M,115000,€33.2M,2153,0.0007130434782608696
H. Aouar,France,22,81,89,"



Olympique Lyonnais","CM, LM",CAM,€57.5M,65000,€54.6M,2119,0.001246153846153846
M. Lazzari,Italy,26,81,82,"



Lazio",RM,RM,€30.5M,70000,€37.3M,1940,0.0011571428571428572
Cucurella,Spain,21,81,89,"



Getafe CF","LM, LB",LM,€58M,28000,€61M,2107,0.0028928571428571428
Rúben Dias,Portugal,23,81,87,"



Manchester City",CB,CB,€37M,105000,€45.1M,1749,0.0007714285714285715
M. Diaby,France,20,81,88,"



Bayer 04 Leverkusen","LM, LW",LM,€51M,54000,€47.5M,1881,0.0015
Ferran Torres,Spain,20,81,89,"



Manchester City","RM, LM, CF",RM,€56.5M,95000,€54.3M,1942,0.0008526315789473684
João Félix,Portugal,20,81,93,"



Atlético Madrid","CF, ST",CAM,€62.5M,52000,€72M,2060,0.0015576923076923077
Renan Lodi,Brazil,22,81,87,"



Atlético Madrid",LB,LB,€38.5M,49000,€48.4M,2151,0.0016530612244897958
Raphinha,Brazil,23,81,85,"



Leeds United","RM, RW",LM,€37M,100000,€47.7M,2071,0.00081
J. Martínez,Venezuela,27,81,82,"



Atlanta United",ST,ST,€30M,14000,€33.1M,1948,0.0057857142857142855
A. Davies,Canada,19,81,89,"



FC Bayern München","LB, LM, RM",LB,€53M,40000,€41.6M,2111,0.002025
Rosberto Dourado,Brazil,20,81,81,"



Atlético Mineiro","CDM, CM, CAM",CDM,€25.5M,31000,€33.3M,2033,0.0026129032258064514
Richarlison,Brazil,23,81,88,"



Everton","ST, LW, RM",ST,€52M,90000,€53.6M,2099,0.0009
Oswaldinato,Brazil,28,81,81,"



Flamengo",ST,ST,€26.5M,56000,€33.3M,1874,0.0014464285714285714
Nuno Padrenda,Brazil,24,81,81,"



Palmeiras","CAM, CM, ST",CAM,€29.5M,43000,€35.1M,2005,0.001883720930232558
Louri Beretta,Brazil,28,81,81,"



Atlético Mineiro","ST, CF",ST,€26.5M,53000,€35.2M,1904,0.0015283018867924528
Adryan Zonta,Brazil,28,81,81,"



São Paulo","LWB, LB",LWB,€23.5M,48000,€28.5M,2133,0.0016875
B. Chilwell,England,23,81,85,"



Chelsea",LB,LB,€34.5M,79000,€40.5M,2034,0.0010253164556962026
C. Pulisic,United States,21,81,87,"



Chelsea","LW, RW, LM",RM,€41.5M,83000,€51.5M,1945,0.0009759036144578314
T. Souček,Czech Republic,25,81,86,"



West Ham United","CDM, CM",CDM,€34.5M,46000,€42.5M,2075,0.0017608695652173913
M. Dmitrović,Serbia,28,81,82,"



SD Eibar",GK,GK,€20.5M,30000,€32.6M,1246,0.0027
W. Weghorst,Netherlands,27,81,81,"



VfL Wolfsburg",ST,ST,€28M,62000,€32.3M,1864,0.0013064516129032257
P. Kimpembe,France,24,81,85,"



Paris Saint-Germain",CB,CB,€33M,69000,€40.4M,1884,0.0011739130434782609
Capa,Spain,28,81,81,"



Athletic Club de Bilbao",RB,RB,€23.5M,31000,€31.5M,2164,0.0026129032258064514
L. Shaw,England,24,81,83,"



Manchester United",LB,LB,€31M,95000,€37.5M,2071,0.0008526315789473684
Y. Tielemans,Belgium,23,81,85,"



Leicester City",CM,CM,€36.5M,82000,€45.4M,2141,0.0009878048780487805
M. Politano,Italy,26,81,81,"



Napoli","RM, RW, ST",RM,€28M,105000,€0,1994,0.0007714285714285715
J. Maddison,England,23,81,85,"



Leicester City","CAM, CM, LW",CAM,€37M,82000,€45.4M,2071,0.0009878048780487805
N. Keïta,Guinea,25,81,85,"



Liverpool",CM,CAM,€35.5M,95000,€43.3M,2078,0.0008526315789473684
Everton,Brazil,24,81,86,"



SL Benfica",LM,CAM,€39M,17000,€49.8M,1940,0.004764705882352941
L. Torreira,Uruguay,24,81,85,"



Atlético Madrid","CDM, CM",CDM,€33.5M,74000,€0,2102,0.0010945945945945946
Iñaki Williams,Spain,26,81,84,"



Athletic Club de Bilbao","ST, RW",ST,€34M,35000,€48.9M,2044,0.0023142857142857145
D. Sánchez,Colombia,24,81,84,"



Tottenham Hotspur",CB,CB,€31.5M,79000,€39.5M,1790,0.0010253164556962026
Jonny,Spain,26,81,84,"



Wolverhampton Wanderers",LWB,LWB,€31M,86000,€38.5M,1995,0.000941860465116279
I. Fernández,Argentina,30,81,81,"



River Plate","CM, CAM",CM,€24.5M,24000,€23.1M,2178,0.003375
J. Correa,Argentina,25,81,84,"



Lazio","CF, ST, CAM",CAM,€34.5M,73000,€39.9M,1972,0.0011095890410958904
W. Benítez,Argentina,27,81,84,"



OGC Nice",GK,GK,€25.5M,35000,€30.6M,1281,0.0023142857142857145
T. Lemar,France,24,81,85,"



Atlético Madrid","LM, CAM, RM",CAM,€37M,54000,€48.9M,2132,0.0015
O. Vlachodimos,Greece,26,81,86,"



SL Benfica",GK,GK,€29.5M,14000,€36.3M,1258,0.0057857142857142855
M. Dembélé,France,23,81,85,"



Olympique Lyonnais",ST,ST,€37.5M,72000,€46.4M,1903,0.001125
A. Rabiot,France,25,81,82,"



Juventus","CM, CDM",CM,€30.5M,83000,€36.2M,2166,0.0009759036144578314
Fred,Brazil,27,81,83,"



Manchester United","CDM, CM",CM,€28M,115000,€37.5M,2197,0.0007043478260869566
Gonçalo Guedes,Portugal,23,81,87,"



Valencia CF","LM, ST",LM,€40.5M,39000,€56.4M,2002,0.002076923076923077
M. de Roon,Netherlands,29,81,81,"



Atalanta","CDM, CM",CDM,€22M,63000,€25.5M,2111,0.0012857142857142856
B. Pavard,France,24,81,85,"



FC Bayern München","RB, CB",CB,€34.5M,65000,€35.4M,2027,0.001246153846153846
T. Delaney,Denmark,28,81,81,"



Borussia Dortmund","CDM, CM",CB,€22.5M,64000,€27.2M,2202,0.001265625
Jordi Masip,Spain,31,81,81,"



Real Valladolid CF",GK,GK,€13.5M,21000,€24.2M,1384,0.003857142857142857
X. Shaqiri,Switzerland,28,81,81,"



Liverpool",RM,RM,€26M,105000,€33.3M,2061,0.0007714285714285715
S. Coates,Uruguay,29,81,81,"



Sporting CP",CB,CB,€21.5M,19000,€30M,1741,0.004263157894736842
K. Kampl,Slovenia,29,81,81,"



RB Leipzig","CM, CDM, CAM",CM,€25M,65000,€28.9M,2059,0.001246153846153846
A. Cragno,Italy,26,81,85,"



Cagliari",GK,GK,€27.5M,32000,€29.3M,1208,0.00253125
A. Rüdiger,Germany,27,81,83,"



Chelsea",CB,CB,€27.5M,90000,€36.5M,1865,0.0009
A. Milik,Poland,26,81,84,"



Napoli",ST,ST,€34M,81000,€39.9M,1955,0.001
J. Pickford,England,26,81,84,"



Everton",GK,GK,€26M,70000,€31.6M,1484,0.0011571428571428572
S. Savić,Montenegro,29,81,82,"



Atlético Madrid",CB,CB,€24M,60000,€36.1M,1680,0.00135
E. Zahavi,Israel,32,81,81,"



PSV","ST, LM",ST,€21M,27000,€19.6M,2068,0.003
S. Arias,Colombia,28,81,81,"



Bayer 04 Leverkusen",RB,RB,€23.5M,60000,€0,2026,0.00135
A. Florenzi,Italy,29,81,81,"



Paris Saint-Germain",RB,RB,€22.5M,85000,€26.8M,2227,0.0009529411764705883
Suso,Spain,26,81,81,"



Sevilla FC","RW, CAM",CAM,€28M,39000,€39.9M,1954,0.002076923076923077
B. Mendy,France,25,81,84,"



Manchester City",LB,LWB,€31.5M,115000,€37.5M,2035,0.0007043478260869566
Felipe Anderson,Brazil,27,81,81,"



FC Porto","LM, CAM",LM,€27.5M,53000,€0,2024,0.0015283018867924528
M. Doherty,Republic of Ireland,28,81,81,"



Tottenham Hotspur","RWB, RB",RWB,€23.5M,95000,€28.5M,2044,0.0008526315789473684
K. Volland,Germany,27,81,81,"



AS Monaco","ST, RW, LW",ST,€28M,68000,€36.1M,2097,0.0011911764705882352
Paco Alcácer,Spain,26,81,82,"



Villarreal CF",ST,ST,€31M,45000,€45.7M,1972,0.0018
S. Berghuis,Netherlands,28,81,81,"



Feyenoord",RW,CAM,€26M,23000,€25.2M,2023,0.0035217391304347826
J. Cillessen,Netherlands,31,81,81,"



Valencia CF",GK,GK,€13.5M,33000,€24.2M,1321,0.0024545454545454545
Pablo Sarabia,Spain,28,81,81,"



Paris Saint-Germain","RW, CAM",RW,€26M,100000,€33.3M,2025,0.00081
T. Meunier,Belgium,28,81,81,"



Borussia Dortmund","RB, RM",RB,€23.5M,64000,€25.5M,2132,0.001265625
S. Haller,France,26,81,83,"



West Ham United",ST,ST,€32.5M,58000,€43.5M,1958,0.001396551724137931
S. Mignolet,Belgium,32,81,81,"



Club Brugge KV",GK,GK,€13M,26000,€15.4M,1287,0.0031153846153846153
Ismaily,Brazil,30,81,81,"



Shakhtar Donetsk",LB,LB,€22M,1000,€29.4M,2065,0.081
Jonathan Viera,Spain,30,81,81,"



Beijing Sinobo Guoan FC",CAM,CAM,€25M,28000,€27.2M,2133,0.0028928571428571428
S. Bender,Germany,31,81,81,"



Bayer 04 Leverkusen","CB, CDM",CB,€17.5M,66000,€22.1M,1871,0.0012272727272727272
J. Cuadrado,Colombia,32,81,81,"



Juventus","RB, RM, RW",RW,€18M,80000,€18.2M,2179,0.0010125
Iniesta,Spain,36,81,81,"



Vissel Kobe","CM, CAM",CAM,€8M,12000,€7.2M,2014,0.00675
Marcos Alonso,Spain,29,81,81,"



Chelsea","LB, LWB",LB,€22.5M,95000,€27.6M,2172,0.0008526315789473684
M. Götze,Germany,28,81,81,"



PSV","CAM, CM",CAM,€26M,26000,€25.2M,2084,0.0031153846153846153
E. Salvio,Argentina,29,81,81,"



Boca Juniors","RM, RW",RM,€25.5M,26000,€24.5M,2113,0.0031153846153846153
Marlos,Ukraine,32,81,81,"



Shakhtar Donetsk","RM, CAM",RM,€20.5M,2000,€29.4M,2053,0.0405
M. Kruse,Germany,32,81,81,"



1. FC Union Berlin","CAM, ST",CAM,€20.5M,42000,€25.2M,2046,0.0019285714285714286
S. Khedira,Germany,33,81,81,"



Juventus","CM, CDM",CM,€16M,87000,€17.3M,2068,0.0009310344827586207
Javi Martínez,Spain,31,81,81,"



FC Bayern München","CDM, CB",CB,€18M,76000,€22.3M,1884,0.0010657894736842105
Taison,Brazil,32,81,81,"



Shakhtar Donetsk","LM, CAM",LM,€20.5M,2000,€29.4M,2058,0.0405
Marcano,Spain,33,81,81,"



FC Porto",CB,CB,€12.5M,18000,€17M,1811,0.0045
M. Hamšík,Slovakia,32,81,81,"



Dalian YiFang FC","CM, CDM, CAM",CM,€20M,25000,€20.9M,2157,0.00324
S. Ruffier,France,33,81,81,"



AS Saint-Étienne",GK,GK,€8.5M,32000,€19M,1277,0.00253125
L. Fabiański,Poland,35,81,81,"



West Ham United",GK,GK,€2.9M,26000,€9.1M,1256,0.0031153846153846153
A. Consigli,Italy,33,81,81,"



Sassuolo",GK,GK,€8.5M,32000,€16.2M,1206,0.00253125
F. Ribéry,France,37,81,81,"



Fiorentina","CF, LM, LW",CAM,€9M,54000,€11.1M,1915,0.0015
H. Herrera,Mexico,30,81,81,"



Atlético Madrid",CM,CM,€24.5M,63000,€33.8M,2147,0.0012857142857142856
Pepe,Portugal,37,81,81,"



FC Porto",CB,CB,€4.6M,13000,€7.2M,1856,0.006230769230769231
E. Andrada,Argentina,29,81,82,"



Boca Juniors",GK,GK,€20M,19000,€21.4M,1284,0.004263157894736842
A. Gignac,France,34,81,81,"



Tigres U.A.N.L.","ST, CF",ST,€12.5M,66000,€15.2M,2018,0.0012272727272727272
Vinícius Jr.,Brazil,19,80,93,"



Real Madrid",LW,RM,€50M,95000,€73.6M,1916,0.0008421052631578948
M. Gómez,Uruguay,23,80,85,"



Valencia CF",ST,ST,€32M,40000,€43.5M,1917,0.002
D. Livaković,Croatia,25,80,85,"



Dinamo Zagreb",GK,GK,€24.5M,900,€33M,1330,0.08888888888888889
V. Tsygankov,Ukraine,22,80,86,"



Dynamo Kyiv",RM,CAM,€34M,1000,€49.2M,1954,0.08
T. Ndombele,France,23,80,87,"



Tottenham Hotspur","CM, CDM",CAM,€42M,82000,€43.1M,2083,0.000975609756097561
B. Davies,Wales,27,80,81,"



Tottenham Hotspur","LB, LWB",LB,€22M,86000,€28.6M,2007,0.0009302325581395349
David Neres,Brazil,23,80,85,"



Ajax","LW, RW, CAM",CAM,€32M,21000,€29.5M,1931,0.0038095238095238095
C. Nkunku,France,22,80,86,"



RB Leipzig","CAM, ST",CAM,€34M,51000,€39M,2118,0.001568627450980392
D. Henderson,England,23,80,87,"



Manchester United",GK,GK,€36M,70000,€33.6M,1216,0.001142857142857143
C. Söyüncü,Turkey,24,80,85,"



Leicester City",CB,CB,€29M,69000,€35.6M,1825,0.0011594202898550724
Éder Militão,Brazil,22,80,87,"



Real Madrid","CB, RB",CB,€40M,115000,€42.8M,1988,0.0006956521739130435
Unai Simón,Spain,23,80,86,"



Athletic Club de Bilbao",GK,GK,€27M,18000,€35.7M,1217,0.0044444444444444444
M. Mount,England,21,80,87,"



Chelsea","CAM, CM, LW",CAM,€43M,70000,€44.1M,1994,0.001142857142857143
M. Arambarri,Uruguay,24,80,85,"



Getafe CF","CDM, CM",CDM,€29M,28000,€39.2M,1928,0.002857142857142857
T. Hernández,France,22,80,85,"



Milan",LB,LB,€30M,37000,€31.1M,2064,0.002162162162162162
L. Jović,Serbia,22,80,85,"



Real Madrid",ST,ST,€33M,140000,€42.5M,1915,0.0005714285714285715
Tony Abranjes,Brazil,32,80,80,"



Palmeiras",CB,CB,€13.5M,43000,€17.1M,1788,0.0018604651162790699
M. Thuram,France,22,80,86,"



Borussia Mönchengladbach","LW, ST",ST,€34M,43000,€39M,1974,0.0018604651162790699
O. Zinchenko,Ukraine,23,80,85,"



Manchester City",LB,CM,€29.5M,95000,€33.7M,2144,0.0008421052631578948
Laure Santeiro,Brazil,20,80,80,"



Fluminense","CAM, LM, LW",CAM,€24M,23000,€31.4M,1834,0.0034782608695652175
Maikel Catarino,Brazil,24,80,80,"



Atlético Mineiro","RB, RM",RB,€22M,34000,€26.6M,1954,0.002352941176470588
L. Bailey,Jamaica,22,80,85,"



Bayer 04 Leverkusen","LM, RM",CAM,€32.5M,59000,€35.5M,1993,0.0013559322033898306
Mario Hermoso,Spain,25,80,83,"



Atlético Madrid",CB,CB,€25M,51000,€35.1M,1990,0.001568627450980392
Yeray,Spain,25,80,83,"



Athletic Club de Bilbao",CB,CB,€25M,26000,€35.9M,1883,0.003076923076923077
N. Mukiele,France,22,80,87,"



RB Leipzig","RB, CB, RWB",CB,€40.5M,46000,€35.2M,1950,0.0017391304347826088
Álex Remiro,Spain,25,80,84,"



Real Sociedad",GK,GK,€23M,25000,€30.5M,1276,0.0032
S. Lainer,Austria,27,80,80,"



Borussia Mönchengladbach",RB,RB,€20.5M,41000,€22.1M,2020,0.001951219512195122
Dani Ceballos,Spain,23,80,85,"



Arsenal","CM, CAM",CM,€31.5M,125000,€0,2077,0.00064
Merino,Spain,24,80,86,"



Real Sociedad",CM,CAM,€33M,31000,€46M,2177,0.0025806451612903226
A. Saint-Maximin,France,23,80,86,"



Newcastle United","LM, LW, ST",CAM,€33.5M,43000,€43.1M,1872,0.0018604651162790699
Héniton Pires,Brazil,24,80,80,"



Flamengo",GK,GK,€18M,28000,€20.7M,1271,0.002857142857142857
Diogo Jota,Portugal,23,80,86,"



Liverpool","LW, ST, CM",CAM,€33.5M,90000,€42M,2073,0.0008888888888888889
N. Barella,Italy,23,80,87,"



Inter","CM, CAM",CM,€42M,86000,€39M,2132,0.0009302325581395349
V. Rongier,France,25,80,83,"



Olympique de Marseille","CM, CDM",CM,€27.5M,45000,€36.5M,2081,0.0017777777777777779
Otávio,Brazil,25,80,83,"



FC Porto","RM, CAM, CM",CAM,€28M,17000,€38.4M,2026,0.004705882352941176
L. Klostermann,Germany,24,80,85,"



RB Leipzig","CB, RB, RWB",CB,€29M,46000,€32M,1902,0.0017391304347826088
H. Lozano,Mexico,24,80,83,"



Napoli","RW, ST, LW",CAM,€29M,66000,€33.7M,1993,0.0012121212121212121
V. Lindelöf,Sweden,25,80,84,"



Manchester United",CB,CDM,€26.5M,100000,€33.6M,1970,0.0008
Angeliño,Spain,23,80,85,"



RB Leipzig",LB,CM,€29.5M,95000,€0,2152,0.0008421052631578948
M. Vecino,Uruguay,28,80,80,"



Inter",CDM,CDM,€18.5M,95000,€22.1M,2062,0.0008421052631578948
C. Tolisso,France,25,80,83,"



FC Bayern München","CM, CDM",CM,€27.5M,74000,€31.9M,2185,0.001081081081081081
J. Musso,Argentina,26,80,83,"



Udinese",GK,GK,€21M,17000,€25.3M,1216,0.004705882352941176
P. Zieliński,Poland,26,80,83,"



Napoli","CM, LM",CAM,€27.5M,69000,€32M,2080,0.0011594202898550724
P. Højbjerg,Denmark,24,80,84,"



Tottenham Hotspur",CDM,CDM,€27.5M,74000,€34.6M,2070,0.001081081081081081
A. Plea,France,27,80,81,"



Borussia Mönchengladbach","ST, LW",ST,€24.5M,49000,€31.1M,2056,0.0016326530612244899
Gelson Martins,Portugal,25,80,83,"



AS Monaco","RM, RW",RM,€28M,56000,€36.5M,2026,0.0014285714285714286
J. Grealish,England,24,80,83,"



Aston Villa","LW, CAM, CM",CAM,€29M,65000,€37.5M,1958,0.0012307692307692308
William Carvalho,Portugal,28,80,80,"



Real Betis","CDM, CM",CDM,€18.5M,29000,€27.3M,1930,0.002758620689655172
A. Januzaj,Belgium,25,80,83,"



Real Sociedad","RW, RM",CAM,€28M,37000,€40.2M,1894,0.002162162162162162
A. Belotti,Italy,26,80,83,"



Torino",ST,ST,€28M,57000,€32.8M,1951,0.0014035087719298245
F. Armani,Argentina,33,80,80,"



River Plate",GK,GK,€7M,17000,€11.2M,1299,0.004705882352941176
Lucas Vázquez,Spain,29,80,80,"



Real Madrid",RW,RW,€20.5M,165000,€29.7M,2077,0.00048484848484848484
D. Berardi,Italy,25,80,81,"



Sassuolo","RM, RW",CAM,€25M,39000,€31.1M,1996,0.0020512820512820513
Rubén Peña,Spain,28,80,80,"



Villarreal CF","RB, LB",RB,€19M,37000,€26.3M,2095,0.002162162162162162
D. Rugani,Italy,25,80,83,"



Stade Rennais FC",CB,CB,€25M,47000,€32.6M,1706,0.001702127659574468
K. Demirbay,Germany,26,80,81,"



Bayer 04 Leverkusen",CM,CAM,€24.5M,68000,€30.2M,2112,0.001176470588235294
F. Bernardeschi,Italy,26,80,82,"



Juventus","CAM, RM",CAM,€26M,81000,€31.1M,2100,0.0009876543209876543
João Mário,Portugal,27,80,81,"



Sporting CP","CM, CAM, LM",CM,€24M,100000,€0,2045,0.0008
Iñigo Martínez,Spain,29,80,81,"



Athletic Club de Bilbao",CB,CB,€19.5M,29000,€30.5M,1969,0.002758620689655172
